Date,Red_Numerator,Red_Denominator,Orange_Numerator,Orange_Denominator,Green-E_Numerator,Green-E_Denominator,Green-D_Numerator,Green-D_Denominator,Green-C_Numerator,Green-C_Denominator,Green-B_Numerator,Green-B_Denominator,Blue_Numerator,Blue_Denominator
2016-06-13,76037.88,82919.41,52630.31,55969.67,7145.402,11174.31,4747.141,7175.85,7838.84,12104.28,6197.932,8213.909,15302.49,16347.18
2016-06-14,80691.52,85919.46,55936.34,58763.51,7666.238,10630.29,5810.781,7910.859,9166.575,12354.04,6624.887,8205.53,16280.64,17395.74
2016-06-15,81024.43,86480.46,55215.29,58757.84,7576.31,10505.07,5959.422,7913.195,8473.463,12145.39,6765.088,8534.423,16086.59,16822.79
2016-06-16,79863.12,86332.08,54668.93,58344.0,7517.682,10680.94,5900.503,8015.116,9055.873,12250.32,6333.026,8020.251,16640.12,17207.17
2016-06-17,76598.26,86239.19,54395.83,58639.72,7750.608,10951.69,5839.279,8137.898,7988.425,11700.63,6234.142,7743.961,16364.92,17038.74
2016-06-20,73046.09,80003.57,54556.77,56177.83,7276.329,11130.86,5147.019,7667.693,7907.413,11867.74,5793.851,7881.36,14846.86,16093.83
2016-06-21,80552.32,86320.4,51784.37,58485.81,7913.833,10996.98,5768.892,7800.523,8736.146,12196.3,6126.356,8248.799,16145.8,16906.58
2016-06-22,81178.54,85652.56,57925.25,60647.23,6917.446,10262.33,5879.774,7949.014,8550.595,11664.79,6129.736,8582.022,16550.9,17171.94
2016-06-23,77777.83,83741.35,55286.99,58287.09,7390.129,11224.9,4978.752,7504.066,8011.88,12227.37,5685.67,8012.796,15707.66,16765.31
2016-06-24,67156.31,75909.09,53701.36,58029.49,7611.895,11067.72,5316.227,7615.934,8183.811,11939.27,6172.346,8279.897,14779.4,15685.73
2016-06-27,76956.17,84159.89,53192.17,57176.39,7219.706,10671.14,5506.489,7601.411,8968.539,12369.46,6176.909,8199.275,15313.42,16174.68
2016-06-28,70507.89,79141.16,52415.65,56369.22,8176.959,12344.98,6444.453,9673.024,8750.361,12201.5,6466.646,8323.042,14738.84,15833.34
2016-06-29,76922.74,82491.33,54028.75,59250.07,10522.02,15091.96,7305.809,10885.69,8303.158,11946.0,6218.572,8038.352,14580.44,15769.58
2016-06-30,75955.43,83322.5,53515.55,56249.1,13171.76,18083.36,6916.833,10174.02,8728.745,12750.59,5631.604,7877.582,14546.26,15591.48
